	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
        15.7825	         9306.5	       0.910634	       0.141858	       0.411956	      0.0173561	  -8.59528e-007	  -9.97377e-008	   7.77607e-008
        15.8826	        9306.09	       0.910617	       0.141854	        0.41199	      0.0172403	  -8.42452e-007	  -2.11366e-007	    1.6717e-007
        15.9828	        9305.48	       0.910591	       0.141844	        0.41204	       0.017152	  -8.12132e-007	  -3.30718e-007	   2.68119e-007
        16.0828	        9304.68	       0.910558	       0.141827	       0.412103	      0.0171078	  -7.61536e-007	  -4.61642e-007	    3.8786e-007
        16.1829	        9303.72	       0.910518	       0.141799	       0.412174	      0.0171234	  -6.80207e-007	  -6.06876e-007	   5.34656e-007
        16.2829	        9302.61	       0.910472	        0.14176	       0.412247	      0.0172106	  -5.54047e-007	  -7.67281e-007	   7.18039e-007
        16.3828	        9301.39	       0.910421	       0.141706	       0.412317	      0.0173744	  -3.65362e-007	  -9.40791e-007	    9.4895e-007
        16.4826	         9300.1	       0.910367	       0.141637	       0.412376	      0.0176102	  -9.34607e-008	  -1.12109e-006	    1.2397e-006
        16.5824	        9298.79	       0.910312	       0.141551	       0.412416	      0.0179039	    2.8392e-007	  -1.29613e-006	   1.60367e-006
        16.6821	         9297.5	       0.910258	       0.141447	       0.412433	      0.0182321	   7.88056e-007	  -1.44667e-006	    2.0547e-006
        16.7818	         9296.3	       0.910208	       0.141324	       0.412419	      0.0185661	   1.43538e-006	   -1.5452e-006	   2.60609e-006
        16.8814	        9295.24	       0.910164	       0.141184	       0.412373	      0.0188773	   2.23233e-006	  -1.55565e-006	    3.2691e-006
        16.9811	        9294.39	       0.910128	       0.141026	       0.412294	      0.0191427	   3.16924e-006	  -1.43445e-006	   4.05118e-006
        17.0809	         9293.8	       0.910104	       0.140854	       0.412187	      0.0193506	   4.21386e-006	  -1.13334e-006	   4.95366e-006
        17.1806	        9293.53	       0.910092	       0.140669	        0.41206	      0.0195047	   5.30589e-006	  -6.04289e-007	   5.96942e-006
        17.2805	         9293.6	       0.910095	       0.140475	       0.411924	       0.019624	   6.35366e-006	   1.93486e-007	   7.08063e-006
        17.3804	        9294.06	       0.910115	       0.140276	       0.411796	      0.0197396	   7.23496e-006	   1.28488e-006	    8.2571e-006
        17.4803	        9294.91	        0.91015	       0.140077	       0.411692	      0.0198888	   7.80317e-006	   2.66974e-006	    9.4555e-006
        17.5801	        9296.14	       0.910201	       0.139881	       0.411631	       0.020106	    7.8994e-006	   4.31479e-006	     1.062e-005
        17.6799	        9297.73	       0.910268	       0.139694	       0.411629	      0.0204157	   7.37022e-006	   6.14841e-006	   1.16844e-005
        17.7796	        9299.62	       0.910347	        0.13952	       0.411697	      0.0208268	   6.08901e-006	   8.05993e-006	   1.25758e-005
        17.8792	        9301.75	       0.910436	       0.139362	       0.411842	      0.0213313	   3.97834e-006	   9.90449e-006	    1.3219e-005
        17.9787	        9304.05	       0.910532	       0.139224	       0.412062	      0.0219086	   1.02984e-006	   1.15137e-005	   1.35427e-005
        18.0781	        9306.41	        0.91063	       0.139108	       0.412348	      0.0225317	   -2.6817e-006	    1.2711e-005	   1.34844e-005
        18.1775	        9308.74	       0.910727	       0.139014	       0.412681	      0.0231763	  -6.99273e-006	   1.33316e-005	   1.29971e-005
        18.2768	        9310.93	       0.910819	       0.138943	       0.413038	      0.0238271	  -1.16559e-005	   1.32423e-005	   1.20537e-005
        18.3762	        9312.89	         0.9109	       0.138894	       0.413389	       0.024482	  -1.63566e-005	   1.23617e-005	   1.06519e-005
        18.4755	        9314.52	       0.910968	       0.138862	       0.413706	      0.0251492	  -2.07402e-005	    1.0676e-005	   8.81711e-006
        18.5749	        9315.74	       0.911019	       0.138846	       0.413958	      0.0258416	  -2.44482e-005	    8.2471e-006	   6.60289e-006
        18.6742	         9316.5	       0.911051	        0.13884	       0.414124	       0.026567	  -2.71587e-005	     5.213e-006	   4.08962e-006
        18.7734	        9316.76	       0.911061	       0.138839	       0.414186	      0.0273197	  -2.86261e-005	   1.77662e-006	   1.37981e-006
        18.8727	         9316.5	       0.911051	       0.138839	       0.414139	      0.0280748	  -2.87115e-005	  -1.81408e-006	  -1.40894e-006
        18.9719	        9315.73	       0.911019	       0.138832	       0.413988	      0.0287884	  -2.74019e-005	  -5.29294e-006	  -4.15263e-006
        19.0712	         9314.5	       0.910967	       0.138816	       0.413745	      0.0294042	  -2.48113e-005	  -8.40517e-006	  -6.73026e-006
        19.1706	        9312.86	       0.910899	       0.138784	       0.413433	      0.0298651	   -2.1167e-005	  -1.09351e-005	  -9.03282e-006
        19.2701	        9310.88	       0.910817	       0.138734	       0.413081	      0.0301261	   -1.6781e-005	  -1.27284e-005	  -1.09708e-005
        19.3699	        9308.67	       0.910724	       0.138662	       0.412718	      0.0301666	  -1.20129e-005	  -1.37056e-005	  -1.24799e-005
        19.4698	        9306.32	       0.910626	       0.138568	       0.412374	      0.0299972	  -7.22899e-006	  -1.38657e-005	  -1.35243e-005
          19.57	        9303.93	       0.910527	        0.13845	       0.412076	      0.0296597	  -2.76296e-006	  -1.32805e-005	  -1.40974e-005
        19.6703	         9301.6	        0.91043	        0.13831	       0.411841	      0.0292195	   1.11567e-006	  -1.20798e-005	  -1.42203e-005
