
gamma	ort_gel_X	ort_gel_Y	ort_gel_Z	normort_gel	vnesh_ort_X	vnesh_ort_Y	vnesh_ort_Z	i_gelio	Omega_gelio	p_gelio	e_gelio	a_gelio	r_pi_gelio	r_a_gelio
9,7000	1016350459,3688	228824304,5575	13217112634,6689	13258106773,4477	0,0767	0,0173	0,9969	4,5068	102,6882	8,8537	0,8570	33,3458	4,7677	61,9238
9,8000	1023223822,8915	230484136,4494	13216318171,1223	13257872224,8038	0,0772	0,0174	0,9969	4,5375	102,6942	8,8534	0,8569	33,3169	4,7679	61,8660
9,9000	1030095127,7623	232143476,0604	13215520045,9730	13257637672,3468	0,0777	0,0175	0,9968	4,5683	102,7001	8,8531	0,8568	33,2880	4,7680	61,8079
10,0000	1036964353,0499	233802318,3358	13214718261,6522	13257403114,0491	0,0782	0,0176	0,9968	4,5990	102,7059	8,8528	0,8566	33,2589	4,7682	61,7496
10,1000	1043831477,8296	235460658,2225	13213912820,6023	13257168547,8520	0,0787	0,0178	0,9967	4,6297	102,7117	8,8525	0,8565	33,2297	4,7684	61,6910
10,2000	1050696481,1828	237118490,6689	13213103725,2769	13256933971,6660	0,0793	0,0179	0,9967	4,6604	102,7173	8,8522	0,8564	33,2003	4,7685	61,6322
10,3000	1057559342,1975	238775810,6249	13212290978,1405	13256699383,3707	0,0798	0,0180	0,9967	4,6911	102,7229	8,8518	0,8562	33,1709	4,7687	61,5731
10,4000	1064420039,9684	240432613,0420	13211474581,6690	13256464780,8149	0,0803	0,0181	0,9966	4,7218	102,7284	8,8515	0,8561	33,1413	4,7689	61,5137
10,5000	1071278553,5965	242088892,8735	13210654538,3492	13256230161,8166	0,0808	0,0183	0,9966	4,7525	102,7339	8,8512	0,8560	33,1116	4,7690	61,4541
10,6000	1078134862,1896	243744645,0739	13209830850,6792	13255995524,1629	0,0813	0,0184	0,9965	4,7831	102,7393	8,8509	0,8558	33,0817	4,7692	61,3942
10,7000	1084988944,8622	245399864,5995	13209003521,1680	13255760865,6104	0,0819	0,0185	0,9965	4,8138	102,7446	8,8506	0,8557	33,0518	4,7694	61,3341
10,8000	1091840780,7356	247054546,4082	13208172552,3358	13255526183,8848	0,0824	0,0186	0,9964	4,8445	102,7498	8,8503	0,8556	33,0217	4,7696	61,2738
10,9000	1098690348,9379	248708685,4597	13207337946,7139	13255291476,6813	0,0829	0,0188	0,9964	4,8751	102,7550	8,8500	0,8554	32,9915	4,7698	61,2132
11,0000	1105537628,6041	250362276,7151	13206499706,8446	13255056741,6646	0,0834	0,0189	0,9963	4,9058	102,7601	8,8496	0,8553	32,9611	4,7700	61,1523
11,1000	1112382598,8762	252015315,1372	13205657835,2814	13254821976,4686	0,0839	0,0190	0,9963	4,9364	102,7651	8,8493	0,8551	32,9307	4,7702	61,0912
11,2000	1119225238,9033	253667795,6907	13204812334,5887	13254587178,6969	0,0844	0,0191	0,9962	4,9670	102,7701	8,8490	0,8550	32,9001	4,7703	61,0299
