	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
        11.2877	        9295.51	       0.910193	       0.145999	       0.411639	      0.0122069	   8.01113e-006	   4.06149e-006	    1.0543e-005
        11.3878	        9297.04	       0.910257	       0.145809	       0.411627	      0.0120449	      7.59e-006	   5.88796e-006	   1.16374e-005
         11.488	        9298.89	       0.910334	       0.145632	       0.411685	      0.0118493	   6.42855e-006	   7.81407e-006	   1.25701e-005
        11.5882	        9300.99	       0.910422	       0.145471	        0.41182	      0.0116527	   4.43864e-006	   9.69857e-006	   1.32647e-005
        11.6883	        9303.27	       0.910517	       0.145329	        0.41203	      0.0114926	   1.59911e-006	   1.13736e-005	   1.36472e-005
        11.7885	        9305.64	       0.910616	       0.145209	       0.412309	      0.0114074	  -2.02806e-006	   1.26601e-005	   1.36518e-005
        11.8886	        9307.98	       0.910714	       0.145111	       0.412638	      0.0114315	  -6.29011e-006	   1.33872e-005	   1.32275e-005
        11.9886	        9310.21	       0.910807	       0.145037	       0.412994	      0.0115906	   -1.0947e-005	    1.3414e-005	   1.23438e-005
        12.0884	        9312.22	        0.91089	       0.144983	       0.413349	      0.0118983	  -1.56876e-005	   1.26502e-005	    1.0996e-005
        12.1881	        9313.91	       0.910961	       0.144949	       0.413672	      0.0123535	  -2.01567e-005	    1.1073e-005	   9.20717e-006
        12.2876	        9315.21	       0.911015	        0.14493	       0.413935	      0.0129398	  -2.39919e-005	   8.73593e-006	   7.02964e-006
        12.3871	        9316.05	        0.91105	       0.144923	       0.414113	      0.0136266	  -2.68638e-005	   5.76949e-006	   4.54246e-006
        12.4864	        9316.39	       0.911064	       0.144922	        0.41419	      0.0143724	  -2.85158e-005	   2.37068e-006	   1.84704e-006
        12.5856	        9316.21	       0.911057	       0.144921	       0.414157	      0.0151291	  -2.87955e-005	  -1.21606e-006	  -9.39761e-007
        12.6849	        9315.53	       0.911029	       0.144917	       0.414018	      0.0158473	  -2.76744e-005	  -4.72508e-006	  -3.69408e-006
        12.7842	        9314.37	        0.91098	       0.144902	       0.413787	      0.0164818	  -2.52519e-005	  -7.89873e-006	  -6.29427e-006
        12.8835	         9312.8	       0.910915	       0.144873	       0.413483	      0.0169966	   -2.1743e-005	  -1.05156e-005	  -8.62995e-006
         12.983	        9310.87	       0.910835	       0.144826	       0.413135	      0.0173685	  -1.74511e-005	  -1.24135e-005	  -1.06098e-005
        13.0826	         9308.7	       0.910744	       0.144758	       0.412773	      0.0175897	  -1.27316e-005	  -1.35042e-005	  -1.21675e-005
        13.1824	        9306.36	       0.910647	       0.144668	       0.412426	      0.0176673	  -7.95055e-006	  -1.37778e-005	  -1.32652e-005
        13.2823	        9303.98	       0.910547	       0.144554	       0.412121	      0.0176222	  -3.44556e-006	  -1.32978e-005	   -1.3894e-005
        13.3824	        9301.64	        0.91045	       0.144419	       0.411878	      0.0174857	   5.06854e-007	   -1.2187e-005	  -1.40723e-005
        13.4825	        9299.45	       0.910358	       0.144262	       0.411709	      0.0172953	   3.71281e-006	  -1.06081e-005	  -1.38422e-005
        13.5827	        9297.49	       0.910277	       0.144088	       0.411618	      0.0170897	   6.07029e-006	  -8.74198e-006	  -1.32634e-005
        13.6829	        9295.84	       0.910207	       0.143901	       0.411602	      0.0169045	   7.56624e-006	  -6.76619e-006	  -1.24076e-005
        13.7831	        9294.53	       0.910153	       0.143704	        0.41165	      0.0167687	   8.26365e-006	  -4.83758e-006	  -1.13514e-005
        13.8832	        9293.61	       0.910114	       0.143502	       0.411746	      0.0167015	    8.2818e-006	  -3.07977e-006	  -1.01707e-005
        13.9833	        9293.08	       0.910092	       0.143299	       0.411872	      0.0167122	   7.77339e-006	  -1.57693e-006	  -8.93541e-006
        14.0833	        9292.94	       0.910086	       0.143102	       0.412011	      0.0167996	   6.90216e-006	   -3.7324e-007	  -7.70589e-006
        14.1832	        9293.16	       0.910096	       0.142912	       0.412146	      0.0169542	    5.8238e-006	    5.2276e-007	  -6.53024e-006
         14.283	        9293.71	       0.910119	       0.142735	       0.412263	        0.01716	    4.6721e-006	   1.13066e-006	  -5.44364e-006
        14.3828	        9294.53	       0.910153	       0.142572	       0.412353	      0.0173975	   3.55088e-006	   1.48909e-006	  -4.46856e-006
        14.4826	        9295.57	       0.910197	       0.142427	       0.412411	      0.0176458	   2.53159e-006	   1.64675e-006	   -3.6161e-006
        14.5824	        9296.77	       0.910247	       0.142299	       0.412435	      0.0178855	   1.65533e-006	    1.6546e-006	  -2.88793e-006
        14.6821	        9298.07	       0.910302	        0.14219	       0.412427	         0.0181	   9.37836e-007	   1.56006e-006	  -2.27861e-006
        14.7819	         9299.4	       0.910357	         0.1421	       0.412393	      0.0182767	   3.75967e-007	   1.40337e-006	  -1.77782e-006
        14.8817	        9300.71	       0.910412	       0.142027	       0.412338	      0.0184074	  -4.57188e-008	   1.21595e-006	   -1.3724e-006
        14.9816	        9301.95	       0.910465	        0.14197	       0.412271	      0.0184886	  -3.49144e-007	   1.02025e-006	  -1.04808e-006
        15.0815	        9303.09	       0.910512	       0.141928	       0.412197	      0.0185203	  -5.58191e-007	    8.3074e-007	  -7.90663e-007
        15.1815	        9304.08	       0.910554	       0.141899	       0.412125	      0.0185059	  -6.95603e-007	   6.55387e-007	  -5.86903e-007
        15.2815	         9304.9	       0.910589	        0.14188	        0.41206	      0.0184513	   -7.8116e-007	   4.97274e-007	  -4.24905e-007
        15.3815	        9305.54	       0.910616	       0.141869	       0.412006	      0.0183639	  -8.30867e-007	   3.56091e-007	  -2.94281e-007
        15.4816	        9305.97	       0.910634	       0.141864	       0.411968	      0.0182524	  -8.56803e-007	   2.29348e-007	  -1.86071e-007
        15.5817	        9306.19	       0.910644	       0.141863	       0.411948	      0.0181258	  -8.67349e-007	    1.1327e-007	  -9.25066e-008
        15.6819	         9306.2	       0.910644	       0.141863	       0.411946	      0.0179936	  -8.67529e-007	   3.41151e-009	  -6.69275e-009
         15.782	        9305.99	       0.910636	       0.141862	       0.411963	      0.0178653	  -8.59314e-007	  -1.04947e-007	   7.77655e-008
        15.8821	        9305.58	       0.910619	       0.141858	       0.411998	      0.0177503	  -8.41768e-007	  -2.16524e-007	   1.67158e-007
        15.9822	        9304.96	       0.910594	       0.141848	       0.412048	      0.0176576	  -8.11018e-007	  -3.35774e-007	   2.68064e-007
        16.0823	        9304.15	       0.910561	       0.141831	       0.412111	      0.0175957	  -7.60055e-007	  -4.66558e-007	   3.87736e-007
        16.1824	        9303.18	        0.91052	       0.141803	       0.412183	      0.0175722	  -6.78449e-007	   -6.1163e-007	   5.34442e-007
        16.2824	        9302.06	       0.910474	       0.141764	       0.412256	      0.0175931	  -5.52118e-007	  -7.71884e-007	    7.1773e-007
        16.3824	        9300.84	       0.910423	       0.141711	       0.412326	      0.0176624	  -3.63367e-007	  -9.45299e-007	    9.4858e-007
        16.4823	        9299.54	       0.910369	       0.141641	       0.412385	      0.0177809	  -9.14574e-008	  -1.12561e-006	   1.23936e-006
        16.5822	        9298.22	       0.910314	       0.141555	       0.412426	      0.0179461	   2.85963e-007	  -1.30081e-006	   1.60353e-006
        16.6821	        9296.93	       0.910261	       0.141451	       0.412443	      0.0181512	   7.90291e-007	  -1.45164e-006	   2.05498e-006
        16.7818	        9295.73	        0.91021	       0.141328	       0.412429	       0.018385	   1.43806e-006	  -1.55052e-006	   2.60704e-006
        16.8816	        9294.67	       0.910166	       0.141188	       0.412383	      0.0186324	   2.23574e-006	  -1.56126e-006	   3.27092e-006
        16.9814	        9293.81	       0.910131	        0.14103	       0.412304	      0.0188747	   3.17353e-006	  -1.44017e-006	   4.05391e-006
        17.0811	        9293.22	       0.910106	       0.140858	       0.412197	       0.019092	   4.21899e-006	  -1.13892e-006	   4.95718e-006
        17.1809	        9292.95	       0.910094	       0.140673	       0.412069	      0.0192642	   5.31163e-006	  -6.09498e-007	   5.97352e-006
        17.2807	        9293.02	       0.910098	       0.140479	       0.411933	      0.0193743	    6.3598e-006	   1.88795e-007	    7.0852e-006
        17.3806	        9293.48	       0.910117	        0.14028	       0.411805	      0.0194109	   7.24161e-006	   1.28087e-006	   8.26244e-006
        17.4806	        9294.32	       0.910152	        0.14008	       0.411701	      0.0193702	   7.81089e-006	   2.66686e-006	   9.46257e-006
        17.5806	        9295.55	       0.910204	       0.139885	        0.41164	      0.0192581	   7.90901e-006	   4.31416e-006	   1.06305e-005
        17.6807	        9297.14	        0.91027	       0.139697	       0.411638	      0.0190907	   7.38203e-006	   6.15192e-006	   1.17005e-005
        17.7809	        9299.03	       0.910349	       0.139523	       0.411707	      0.0188939	   6.10195e-006	   8.07002e-006	   1.25992e-005
        17.8811	        9301.16	       0.910438	       0.139365	       0.411852	      0.0187013	   3.98935e-006	    9.9233e-006	   1.32508e-005
        17.9813	        9303.46	       0.910534	       0.139227	       0.412073	      0.0185506	   1.03415e-006	   1.15419e-005	   1.35818e-005
        18.0814	        9305.82	       0.910633	       0.139111	       0.412359	      0.0184798	  -2.68923e-006	   1.27474e-005	   1.35283e-005
        18.1815	        9308.15	        0.91073	       0.139017	       0.412693	      0.0185223	  -7.01561e-006	   1.33722e-005	   1.30415e-005
        18.2815	        9310.35	       0.910822	       0.138946	       0.413051	      0.0187025	  -1.16943e-005	   1.32818e-005	   1.20943e-005
        18.3813	        9312.31	       0.910903	       0.138897	       0.413402	      0.0190318	  -1.64065e-005	   1.23949e-005	   1.06849e-005
         18.481	        9313.94	       0.910971	       0.138865	       0.413718	      0.0195071	  -2.07946e-005	   1.06991e-005	   8.84046e-006
        18.5805	        9315.16	       0.911022	       0.138849	       0.413969	      0.0201099	  -2.44986e-005	   8.25909e-006	   6.61661e-006
        18.6799	        9315.92	       0.911054	       0.138843	       0.414133	      0.0208078	  -2.71976e-005	   5.21533e-006	   4.09551e-006
        18.7792	        9316.17	       0.911064	       0.138842	       0.414194	      0.0215581	   -2.8648e-005	   1.77279e-006	   1.38087e-006
        18.8784	        9315.91	       0.911054	       0.138841	       0.414145	      0.0223123	  -2.87143e-005	  -1.81947e-006	  -1.40907e-006
        18.9777	        9315.15	       0.911022	       0.138835	       0.413992	      0.0230212	  -2.73862e-005	  -5.29511e-006	  -4.15022e-006
         19.077	        9313.91	        0.91097	       0.138819	       0.413748	      0.0236405	  -2.47806e-005	  -8.39988e-006	  -6.72183e-006
        19.1764	        9312.27	       0.910902	       0.138787	       0.413435	      0.0241359	  -2.11268e-005	  -1.09194e-005	  -9.01546e-006
        19.2759	         9310.3	        0.91082	       0.138737	       0.413083	      0.0244863	  -1.67385e-005	   -1.2701e-005	  -1.09426e-005
        19.3755	        9308.09	       0.910728	       0.138665	        0.41272	      0.0246858	  -1.19756e-005	  -1.36674e-005	  -1.24403e-005
        19.4753	        9305.73	        0.91063	       0.138571	       0.412377	      0.0247437	  -7.20316e-006	  -1.38197e-005	  -1.34744e-005
        19.5753	        9303.34	        0.91053	       0.138453	        0.41208	      0.0246826	  -2.75257e-006	   -1.3231e-005	  -1.40394e-005
        19.6753	        9301.02	       0.910433	       0.138313	       0.411846	       0.024535	   1.10963e-006	  -1.20314e-005	  -1.41572e-005
