	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
           15.8	         9316.2	       0.911062	        0.15708	       0.414184	  -6.81767e-006	   3.36847e-010	  -5.19898e-009	              0
           15.9	        9316.19	       0.911062	        0.15708	       0.414185	  -6.55322e-006	   6.87953e-010	  -5.16426e-009	              0
             16	        9316.18	       0.911062	        0.15708	       0.414185	  -6.17962e-006	   1.01015e-009	  -5.11102e-009	              0
           16.1	        9316.17	       0.911062	        0.15708	       0.414186	  -5.72589e-006	   1.29389e-009	  -5.04666e-009	              0
           16.2	        9316.17	       0.911062	        0.15708	       0.414186	  -5.22245e-006	   1.53433e-009	  -4.97883e-009	              0
           16.3	        9316.16	       0.911062	        0.15708	       0.414186	  -4.69733e-006	   1.73063e-009	  -4.91404e-009	              0
           16.4	        9316.15	       0.911062	        0.15708	       0.414187	  -4.17383e-006	   1.88474e-009	  -4.85702e-009	              0
           16.5	        9316.15	       0.911062	        0.15708	       0.414187	  -3.66953e-006	   2.00013e-009	  -4.81065e-009	              0
           16.6	        9316.14	       0.911062	        0.15708	       0.414187	  -3.19647e-006	    2.0809e-009	  -4.77627e-009	              0
           16.7	        9316.14	       0.911062	        0.15708	       0.414187	  -2.76188e-006	   2.13122e-009	  -4.75403e-009	              0
           16.8	        9316.13	       0.911062	        0.15708	       0.414187	  -2.36918e-006	   2.15491e-009	  -4.74334e-009	              0
           16.9	        9316.13	       0.911062	        0.15708	       0.414187	  -2.01896e-006	    2.1554e-009	  -4.74311e-009	              0
             17	        9316.13	       0.911062	        0.15708	       0.414187	  -1.70988e-006	   2.13565e-009	  -4.75204e-009	              0
           17.1	        9316.13	       0.911062	        0.15708	       0.414187	  -1.43942e-006	   2.09818e-009	   -4.7687e-009	              0
           17.2	        9316.12	       0.911062	        0.15708	       0.414187	  -1.20437e-006	   2.04515e-009	  -4.79169e-009	              0
           17.3	        9316.12	       0.911062	        0.15708	       0.414187	  -1.00125e-006	   1.97838e-009	  -4.81964e-009	              0
           17.4	        9316.12	       0.911062	        0.15708	       0.414187	  -8.26559e-007	   1.89944e-009	  -4.85129e-009	              0
           17.5	        9316.12	       0.911062	        0.15708	       0.414187	   -6.7695e-007	    1.8097e-009	  -4.88548e-009	              0
           17.6	        9316.12	       0.911062	        0.15708	       0.414186	  -5.49321e-007	   1.71033e-009	  -4.92114e-009	              0
           17.7	        9316.12	       0.911062	        0.15708	       0.414186	  -4.40869e-007	   1.60239e-009	  -4.95734e-009	              0
           17.8	        9316.12	       0.911062	        0.15708	       0.414186	  -3.49103e-007	   1.48683e-009	  -4.99322e-009	              0
           17.9	        9316.11	       0.911062	        0.15708	       0.414186	  -2.71841e-007	   1.36449e-009	  -5.02803e-009	              0
             18	        9316.11	       0.911062	        0.15708	       0.414186	  -2.07201e-007	   1.23617e-009	  -5.06111e-009	              0
           18.1	        9316.11	       0.911062	        0.15708	       0.414186	  -1.53575e-007	   1.10259e-009	  -5.09187e-009	              0
           18.2	        9316.11	       0.911062	        0.15708	       0.414186	   -1.0961e-007	   9.64468e-010	  -5.11983e-009	              0
           18.3	        9316.11	       0.911062	        0.15708	       0.414186	   -7.4183e-008	   8.22448e-010	  -5.14456e-009	              0
           18.4	        9316.11	       0.911062	        0.15708	       0.414186	  -4.63797e-008	    6.7717e-010	  -5.16569e-009	              0
           18.5	        9316.11	       0.911062	        0.15708	       0.414185	  -2.54791e-008	    5.2925e-010	  -5.18293e-009	              0
           18.6	        9316.11	       0.911062	        0.15708	       0.414185	   -1.0936e-008	    3.7929e-010	  -5.19606e-009	              0
           18.7	        9316.11	       0.911062	        0.15708	       0.414185	   -2.3699e-009	    2.2788e-010	   -5.2049e-009	              0
           18.8	        9316.11	       0.911062	        0.15708	       0.414185	   4.43998e-010	    7.5604e-011	  -5.20934e-009	              0
           18.9	        9316.11	       0.911062	        0.15708	       0.414185	  -2.42044e-009	  -7.69585e-011	  -5.20932e-009	              0
             19	        9316.11	       0.911062	        0.15708	       0.414185	  -1.10384e-008	  -2.29229e-010	  -5.20484e-009	              0
           19.1	         9316.1	       0.911062	        0.15708	       0.414185	   -2.5636e-008	  -3.80629e-010	  -5.19596e-009	              0
           19.2	         9316.1	       0.911062	        0.15708	       0.414185	  -4.65953e-008	  -5.30573e-010	   -5.1828e-009	              0
           19.3	         9316.1	       0.911062	        0.15708	       0.414185	  -7.44629e-008	  -6.78472e-010	  -5.16552e-009	              0
           19.4	         9316.1	       0.911062	        0.15708	       0.414184	  -1.09962e-007	  -8.23723e-010	  -5.14435e-009	              0
           19.5	         9316.1	       0.911062	        0.15708	       0.414184	  -1.54007e-007	   -9.6571e-010	   -5.1196e-009	              0
           19.6	         9316.1	       0.911062	        0.15708	       0.414184	  -2.07724e-007	   -1.1038e-009	  -5.09161e-009	              0
           19.7	         9316.1	       0.911062	        0.15708	       0.414184	  -2.72469e-007	  -1.23733e-009	  -5.06082e-009	              0
           19.8	         9316.1	       0.911062	        0.15708	       0.414184	  -3.49851e-007	   -1.3656e-009	  -5.02773e-009	              0
           19.9	         9316.1	       0.911062	        0.15708	       0.414184	  -4.41756e-007	  -1.48788e-009	  -4.99291e-009	              0
             20	         9316.1	       0.911062	        0.15708	       0.414184	  -5.50367e-007	  -1.60338e-009	  -4.95702e-009	              0
           20.1	        9316.09	       0.911062	        0.15708	       0.414184	  -6.78177e-007	  -1.71124e-009	  -4.92083e-009	              0
           20.2	        9316.09	       0.911062	        0.15708	       0.414183	  -8.27995e-007	  -1.81053e-009	  -4.88517e-009	              0
